x,y,T,u,v,p
0,0,300,10,0,167.56
0,0.01,300,10,0,161.699
0,0.02,300,10,0,152.797
0,0.03,300,10,0,148.285
0,0.04,300,10,0,146.178
0,0.05,300,10,0,145.542
0,0.06,300,10,0,146.178
0,0.07,300,10,0,148.285
0,0.08,300,10,0,152.797
0,0.09,300,10,0,161.699
0,0.1,300,10,0,167.56
0,0,300,10,0,167.56
0,0.01,300,10,0,161.699
0,0.02,300,10,0,152.797
0,0.03,300,10,0,148.285
0,0.04,300,10,0,146.178
0,0.05,300,10,0,145.542
0,0.06,300,10,0,146.178
0,0.07,300,10,0,148.285
0,0.08,300,10,0,152.797
0,0.09,300,10,0,161.699
0,0.1,300,10,0,167.56
0,0.1,300,9.18908,-0.358219,167.56
0.01,0.1,300,8.90811,-0.490088,161.506
0.02,0.1,300,8.24887,-0.623528,150.653
0.03,0.1,300,7.4121,-0.585302,142.671
0.04,0.1,300,6.53129,-0.495411,137.062
0.05,0.1,300,5.77507,-0.392739,132.513
0.06,0.1,300,5.18773,-0.291018,128.514
0.07,0.1,300,4.74112,-0.201658,125.029
0.08,0.1,300,4.4012,-0.13205,122.049
0.09,0.1,300,4.1446,-0.0828498,119.488
0.1,0.1,300,3.95316,-0.0505089,117.226
0.11,0.1,300,3.8106,-0.0305398,115.168
0.12,0.1,300,3.70312,-0.0190168,113.246
0.13,0.1,300,3.62013,-0.0128906,111.415
0.14,0.1,300,3.55403,-0.00995596,109.647
0.15,0.1,300,3.49962,-0.00873562,107.926
0.16,0.1,300,3.45342,-0.00832388,106.241
0.17,0.1,300,3.41315,-0.00821517,104.588
0.18,0.1,300,3.37733,-0.00815581,102.964
0.19,0.1,300,3.345,-0.00803826,101.365
0.2,0.1,300,3.31555,-0.00783306,99.7934
0.21,0.1,300,3.28856,-0.0075476,98.2462
0.22,0.1,300,3.26374,-0.00720299,96.722
0.23,0.1,300,3.24087,-0.00682227,95.2202
0.24,0.1,300,3.21976,-0.00642533,93.7394
0.25,0.1,300,3.20025,-0.00602729,92.2784
0.26,0.1,300,3.18221,-0.00563865,90.836
0.27,0.1,300,3.16552,-0.00526603,89.411
0.28,0.1,300,3.15007,-0.00491313,88.0023
0.29,0.1,300,3.13575,-0.00458159,86.6089
0.3,0.1,300,3.12247,-0.00427167,85.2297
0.31,0.1,300,3.11015,-0.00398286,83.8637
0.32,0.1,300,3.0987,-0.00371413,82.5101
0.33,0.1,300,3.08807,-0.00346428,81.1681
0.34,0.1,300,3.07818,-0.00323198,79.8369
0.35,0.1,300,3.06898,-0.00301597,78.5158
0.36,0.1,300,3.06042,-0.00281501,77.2041
0.37,0.1,300,3.05245,-0.00262795,75.9012
0.38,0.1,300,3.04503,-0.00245375,74.6066
0.39,0.1,300,3.03812,-0.00229145,73.3197
0.4,0.1,300,3.03167,-0.00214015,72.0399
0.41,0.1,300,3.02566,-0.00199904,70.7669
0.42,0.1,300,3.02005,-0.0018674,69.5002
0.43,0.1,300,3.01482,-0.00174458,68.2393
0.44,0.1,300,3.00994,-0.00162993,66.9838
0.45,0.1,300,3.00539,-0.00152288,65.7337
0.46,0.1,300,3.00115,-0.00142291,64.4883
0.47,0.1,300,2.99718,-0.00132955,63.2473
0.48,0.1,300,2.99348,-0.00124236,62.0106
0.49,0.1,300,2.99003,-0.00116089,60.7778
0.5,0.1,300,2.9868,-0.00108475,59.5487
0.51,0.1,300,2.9838,-0.00101364,58.323
0.52,0.1,300,2.98098,-0.000947207,57.1005
0.53,0.1,300,2.97835,-0.000885109,55.8811
0.54,0.1,300,2.9759,-0.00082706,54.6645
0.55,0.1,300,2.97362,-0.000772833,53.4505
0.56,0.1,300,2.97148,-0.000722181,52.2389
0.57,0.1,300,2.96947,-0.000674831,51.0296
0.58,0.1,300,2.96761,-0.000630553,49.8225
0.59,0.1,300,2.96587,-0.000589186,48.6175
0.6,0.1,300,2.96424,-0.000550557,47.4142
0.61,0.1,300,2.96273,-0.000514449,46.2127
0.62,0.1,300,2.96131,-0.000480674,45.0129
0.63,0.1,300,2.95998,-0.000449112,43.8146
0.64,0.1,300,2.95874,-0.000419647,42.6177
0.65,0.1,300,2.95758,-0.000392115,41.4221
0.66,0.1,300,2.9565,-0.000366355,40.2279
0.67,0.1,300,2.95549,-0.000342274,39.0348
0.68,0.1,300,2.95455,-0.000319797,37.8428
0.69,0.1,300,2.95367,-0.000298807,36.6517
0.7,0.1,300,2.95285,-0.000279168,35.4617
0.71,0.1,300,2.95208,-0.000260799,34.2726
0.72,0.1,300,2.95135,-0.000243656,33.0843
0.73,0.1,300,2.95069,-0.000227658,31.8967
0.74,0.1,300,2.95006,-0.000212695,30.7099
0.75,0.1,300,2.94947,-0.000198692,29.5237
0.76,0.1,300,2.94893,-0.00018562,28.3382
0.77,0.1,300,2.94841,-0.000173429,27.1533
0.78,0.1,300,2.94794,-0.000162034,25.969
0.79,0.1,300,2.94749,-0.000151364,24.7851
0.8,0.1,300,2.94708,-0.000141397,23.6017
0.81,0.1,300,2.94669,-0.000132102,22.4189
0.82,0.1,300,2.94633,-0.000123423,21.2365
0.83,0.1,300,2.94599,-0.000115295,20.0543
0.84,0.1,300,2.94567,-0.000107699,18.8727
0.85,0.1,300.001,2.94537,-0.000100609,17.6913
0.86,0.1,300.001,2.9451,-9.40E-05,16.5103
0.87,0.1,300.001,2.94484,-8.78E-05,15.3295
0.88,0.1,300.001,2.94459,-8.20E-05,14.149
0.89,0.1,300.001,2.94437,-7.66E-05,12.9689
0.9,0.1,300.001,2.94416,-7.16E-05,11.7889
0.91,0.1,300.001,2.94396,-6.69E-05,10.6091
0.92,0.1,300.001,2.94378,-6.25E-05,9.42962
0.93,0.1,300.001,2.94361,-5.84E-05,8.25033
0.94,0.1,300.001,2.94345,-5.46E-05,7.07121
0.95,0.1,300.001,2.9433,-5.12E-05,5.89227
0.96,0.1,300.001,2.94316,-4.80E-05,4.71349
0.97,0.1,300.001,2.94303,-4.57E-05,3.53486
0.98,0.1,300.001,2.9429,-4.40E-05,2.35638
0.99,0.1,300.001,2.94276,-4.53E-05,1.17803
1,0.1,300.001,2.94267,-4.74E-05,0.588884
0,0.1,300,9.18908,-0.358219,167.56
0.01,0.1,300,8.90811,-0.490088,161.506
0.02,0.1,300,8.24887,-0.623528,150.653
0.03,0.1,300,7.4121,-0.585302,142.671
0.04,0.1,300,6.53129,-0.495411,137.062
0.05,0.1,300,5.77507,-0.392739,132.513
0.06,0.1,300,5.18773,-0.291018,128.514
0.07,0.1,300,4.74112,-0.201658,125.029
0.08,0.1,300,4.4012,-0.13205,122.049
0.09,0.1,300,4.1446,-0.0828498,119.488
0.1,0.1,300,3.95316,-0.0505089,117.226
0.11,0.1,300,3.8106,-0.0305398,115.168
0.12,0.1,300,3.70312,-0.0190168,113.246
0.13,0.1,300,3.62013,-0.0128906,111.415
0.14,0.1,300,3.55403,-0.00995596,109.647
0.15,0.1,300,3.49962,-0.00873562,107.926
0.16,0.1,300,3.45342,-0.00832388,106.241
0.17,0.1,300,3.41315,-0.00821517,104.588
0.18,0.1,300,3.37733,-0.00815581,102.964
0.19,0.1,300,3.345,-0.00803826,101.365
0.2,0.1,300,3.31555,-0.00783306,99.7934
0.21,0.1,300,3.28856,-0.0075476,98.2462
0.22,0.1,300,3.26374,-0.00720299,96.722
0.23,0.1,300,3.24087,-0.00682227,95.2202
0.24,0.1,300,3.21976,-0.00642533,93.7394
0.25,0.1,300,3.20025,-0.00602729,92.2784
0.26,0.1,300,3.18221,-0.00563865,90.836
0.27,0.1,300,3.16552,-0.00526603,89.411
0.28,0.1,300,3.15007,-0.00491313,88.0023
0.29,0.1,300,3.13575,-0.00458159,86.6089
0.3,0.1,300,3.12247,-0.00427167,85.2297
0.31,0.1,300,3.11015,-0.00398286,83.8637
0.32,0.1,300,3.0987,-0.00371413,82.5101
0.33,0.1,300,3.08807,-0.00346428,81.1681
0.34,0.1,300,3.07818,-0.00323198,79.8369
0.35,0.1,300,3.06898,-0.00301597,78.5158
0.36,0.1,300,3.06042,-0.00281501,77.2041
0.37,0.1,300,3.05245,-0.00262795,75.9012
0.38,0.1,300,3.04503,-0.00245375,74.6066
0.39,0.1,300,3.03812,-0.00229145,73.3197
0.4,0.1,300,3.03167,-0.00214015,72.0399
0.41,0.1,300,3.02566,-0.00199904,70.7669
0.42,0.1,300,3.02005,-0.0018674,69.5002
0.43,0.1,300,3.01482,-0.00174458,68.2393
0.44,0.1,300,3.00994,-0.00162993,66.9838
0.45,0.1,300,3.00539,-0.00152288,65.7337
0.46,0.1,300,3.00115,-0.00142291,64.4883
0.47,0.1,300,2.99718,-0.00132955,63.2473
0.48,0.1,300,2.99348,-0.00124236,62.0106
0.49,0.1,300,2.99003,-0.00116089,60.7778
0.5,0.1,300,2.9868,-0.00108475,59.5487
0.51,0.1,300,2.9838,-0.00101364,58.323
0.52,0.1,300,2.98098,-0.000947207,57.1005
0.53,0.1,300,2.97835,-0.000885109,55.8811
0.54,0.1,300,2.9759,-0.00082706,54.6645
0.55,0.1,300,2.97362,-0.000772833,53.4505
0.56,0.1,300,2.97148,-0.000722181,52.2389
0.57,0.1,300,2.96947,-0.000674831,51.0296
0.58,0.1,300,2.96761,-0.000630553,49.8225
0.59,0.1,300,2.96587,-0.000589186,48.6175
0.6,0.1,300,2.96424,-0.000550557,47.4142
0.61,0.1,300,2.96273,-0.000514449,46.2127
0.62,0.1,300,2.96131,-0.000480674,45.0129
0.63,0.1,300,2.95998,-0.000449112,43.8146
0.64,0.1,300,2.95874,-0.000419647,42.6177
0.65,0.1,300,2.95758,-0.000392115,41.4221
0.66,0.1,300,2.9565,-0.000366355,40.2279
0.67,0.1,300,2.95549,-0.000342274,39.0348
0.68,0.1,300,2.95455,-0.000319797,37.8428
0.69,0.1,300,2.95367,-0.000298807,36.6517
0.7,0.1,300,2.95285,-0.000279168,35.4617
0.71,0.1,300,2.95208,-0.000260799,34.2726
0.72,0.1,300,2.95135,-0.000243656,33.0843
0.73,0.1,300,2.95069,-0.000227658,31.8967
0.74,0.1,300,2.95006,-0.000212695,30.7099
0.75,0.1,300,2.94947,-0.000198692,29.5237
0.76,0.1,300,2.94893,-0.00018562,28.3382
0.77,0.1,300,2.94841,-0.000173429,27.1533
0.78,0.1,300,2.94794,-0.000162034,25.969
0.79,0.1,300,2.94749,-0.000151364,24.7851
0.8,0.1,300,2.94708,-0.000141397,23.6017
0.81,0.1,300,2.94669,-0.000132102,22.4189
0.82,0.1,300,2.94633,-0.000123423,21.2365
0.83,0.1,300,2.94599,-0.000115295,20.0543
0.84,0.1,300,2.94567,-0.000107699,18.8727
0.85,0.1,300.001,2.94537,-0.000100609,17.6913
0.86,0.1,300.001,2.9451,-9.40E-05,16.5103
0.87,0.1,300.001,2.94484,-8.78E-05,15.3295
0.88,0.1,300.001,2.94459,-8.20E-05,14.149
0.89,0.1,300.001,2.94437,-7.66E-05,12.9689
0.9,0.1,300.001,2.94416,-7.16E-05,11.7889
0.91,0.1,300.001,2.94396,-6.69E-05,10.6091
0.92,0.1,300.001,2.94378,-6.25E-05,9.42962
0.93,0.1,300.001,2.94361,-5.84E-05,8.25033
0.94,0.1,300.001,2.94345,-5.46E-05,7.07121
0.95,0.1,300.001,2.9433,-5.12E-05,5.89227
0.96,0.1,300.001,2.94316,-4.80E-05,4.71349
0.97,0.1,300.001,2.94303,-4.57E-05,3.53486
0.98,0.1,300.001,2.9429,-4.40E-05,2.35638
0.99,0.1,300.001,2.94276,-4.53E-05,1.17803
1,0.1,300.001,2.94267,-4.74E-05,0.588884
0,0,305.193,9.18908,0.358219,167.56
0.01,0,305.297,8.90811,0.490088,161.506
0.02,0,305.516,8.24887,0.623528,150.653
0.03,0,305.758,7.4121,0.585302,142.671
0.04,0,306.026,6.53129,0.495411,137.062
0.05,0,306.32,5.77507,0.392739,132.513
0.06,0,306.64,5.18773,0.291018,128.514
0.07,0,306.982,4.74112,0.201658,125.029
0.08,0,307.342,4.4012,0.13205,122.049
0.09,0,307.714,4.1446,0.0828498,119.488
0.1,0,308.09,3.95316,0.0505089,117.226
0.11,0,308.466,3.8106,0.0305398,115.168
0.12,0,308.841,3.70312,0.0190168,113.246
0.13,0,309.208,3.62013,0.0128906,111.415
0.14,0,309.568,3.55403,0.00995596,109.647
0.15,0,309.919,3.49962,0.00873562,107.926
0.16,0,310.26,3.45342,0.00832388,106.241
0.17,0,310.593,3.41315,0.00821517,104.588
0.18,0,310.916,3.37733,0.00815581,102.964
0.19,0,311.229,3.345,0.00803826,101.365
0.2,0,311.534,3.31555,0.00783306,99.7934
0.21,0,311.829,3.28856,0.0075476,98.2462
0.22,0,312.117,3.26374,0.00720299,96.722
0.23,0,312.396,3.24087,0.00682227,95.2202
0.24,0,312.667,3.21976,0.00642533,93.7394
0.25,0,312.931,3.20025,0.00602729,92.2784
0.26,0,313.187,3.18221,0.00563865,90.836
0.27,0,313.436,3.16552,0.00526603,89.411
0.28,0,313.679,3.15007,0.00491313,88.0023
0.29,0,313.916,3.13575,0.00458159,86.6089
0.3,0,314.146,3.12247,0.00427167,85.2297
0.31,0,314.37,3.11015,0.00398285,83.8637
0.32,0,314.589,3.0987,0.00371413,82.5101
0.33,0,314.802,3.08807,0.00346428,81.1681
0.34,0,315.011,3.07818,0.00323199,79.8369
0.35,0,315.215,3.06898,0.00301597,78.5158
0.36,0,315.414,3.06042,0.00281501,77.2041
0.37,0,315.609,3.05245,0.00262796,75.9012
0.38,0,315.799,3.04503,0.00245376,74.6066
0.39,0,315.986,3.03812,0.00229144,73.3197
0.4,0,316.168,3.03167,0.00214015,72.0399
0.41,0,316.346,3.02566,0.00199906,70.7669
0.42,0,316.521,3.02005,0.00186741,69.5002
0.43,0,316.693,3.01482,0.00174457,68.2393
0.44,0,316.862,3.00994,0.00162992,66.9838
0.45,0,317.027,3.00539,0.00152289,65.7337
0.46,0,317.19,3.00115,0.00142292,64.4883
0.47,0,317.349,2.99718,0.00132954,63.2473
0.48,0,317.506,2.99348,0.00124234,62.0106
0.49,0,317.661,2.99003,0.00116089,60.7778
0.5,0,317.812,2.9868,0.00108477,59.5487
0.51,0,317.961,2.9838,0.00101363,58.323
0.52,0,318.107,2.98098,0.000947189,57.1005
0.53,0,318.252,2.97835,0.000885123,55.8811
0.54,0,318.395,2.9759,0.000827093,54.6645
0.55,0,318.534,2.97362,0.000772837,53.4505
0.56,0,318.672,2.97148,0.000722161,52.2389
0.57,0,318.809,2.96947,0.000674837,51.0296
0.58,0,318.943,2.96761,0.000630586,49.8225
0.59,0,319.076,2.96587,0.000589193,48.6175
0.6,0,319.206,2.96424,0.000550531,47.4142
0.61,0,319.335,2.96273,0.000514442,46.2127
0.62,0,319.462,2.96131,0.000480702,45.0129
0.63,0,319.587,2.95998,0.000449127,43.8146
0.64,0,319.711,2.95874,0.000419625,42.6177
0.65,0,319.834,2.95758,0.0003921,41.4221
0.66,0,319.955,2.9565,0.000366379,40.2279
0.67,0,320.074,2.95549,0.000342298,39.0348
0.68,0,320.191,2.95455,0.000319786,37.8428
0.69,0,320.308,2.95367,0.00029879,36.6517
0.7,0,320.423,2.95285,0.000279185,35.4617
0.71,0,320.536,2.95208,0.000260831,34.2726
0.72,0,320.648,2.95135,0.000243656,33.0843
0.73,0,320.758,2.95069,0.000227639,31.8967
0.74,0,320.867,2.95006,0.0002127,30.7099
0.75,0,320.974,2.94947,0.000198718,29.5237
0.76,0,321.079,2.94893,0.000185625,28.3382
0.77,0,321.184,2.94841,0.000173409,27.1533
0.78,0,321.286,2.94794,0.000162026,25.969
0.79,0,321.388,2.94749,0.000151379,24.7851
0.8,0,321.487,2.94708,0.000141404,23.6017
0.81,0,321.585,2.94669,0.000132086,22.4189
0.82,0,321.68,2.94633,0.000123409,21.2365
0.83,0,321.775,2.94599,0.0001153,20.0543
0.84,0,321.868,2.94567,0.000107706,18.8727
0.85,0,321.959,2.94537,0.000100601,17.6913
0.86,0,322.048,2.9451,9.40E-05,16.5103
0.87,0,322.136,2.94484,8.78E-05,15.3295
0.88,0,322.223,2.94459,8.20E-05,14.149
0.89,0,322.307,2.94437,7.66E-05,12.9689
0.9,0,322.39,2.94416,7.16E-05,11.7889
0.91,0,322.471,2.94396,6.69E-05,10.6091
0.92,0,322.55,2.94378,6.25E-05,9.42962
0.93,0,322.628,2.94361,5.84E-05,8.25033
0.94,0,322.704,2.94345,5.46E-05,7.07121
0.95,0,322.779,2.9433,5.12E-05,5.89227
0.96,0,322.852,2.94316,4.80E-05,4.71349
0.97,0,322.924,2.94303,4.57E-05,3.53486
0.98,0,322.994,2.9429,4.40E-05,2.35638
0.99,0,323.06,2.94276,4.53E-05,1.17803
1,0,323.092,2.94267,4.74E-05,0.588884
0,0,305.193,9.18908,0.358219,167.56
0.01,0,305.297,8.90811,0.490088,161.506
0.02,0,305.516,8.24887,0.623528,150.653
0.03,0,305.758,7.4121,0.585302,142.671
0.04,0,306.026,6.53129,0.495411,137.062
0.05,0,306.32,5.77507,0.392739,132.513
0.06,0,306.64,5.18773,0.291018,128.514
0.07,0,306.982,4.74112,0.201658,125.029
0.08,0,307.342,4.4012,0.13205,122.049
0.09,0,307.714,4.1446,0.0828498,119.488
0.1,0,308.09,3.95316,0.0505089,117.226
0.11,0,308.466,3.8106,0.0305398,115.168
0.12,0,308.841,3.70312,0.0190168,113.246
0.13,0,309.208,3.62013,0.0128906,111.415
0.14,0,309.568,3.55403,0.00995596,109.647
0.15,0,309.919,3.49962,0.00873562,107.926
0.16,0,310.26,3.45342,0.00832388,106.241
0.17,0,310.593,3.41315,0.00821517,104.588
0.18,0,310.916,3.37733,0.00815581,102.964
0.19,0,311.229,3.345,0.00803826,101.365
0.2,0,311.534,3.31555,0.00783306,99.7934
0.21,0,311.829,3.28856,0.0075476,98.2462
0.22,0,312.117,3.26374,0.00720299,96.722
0.23,0,312.396,3.24087,0.00682227,95.2202
0.24,0,312.667,3.21976,0.00642533,93.7394
0.25,0,312.931,3.20025,0.00602729,92.2784
0.26,0,313.187,3.18221,0.00563865,90.836
0.27,0,313.436,3.16552,0.00526603,89.411
0.28,0,313.679,3.15007,0.00491313,88.0023
0.29,0,313.916,3.13575,0.00458159,86.6089
0.3,0,314.146,3.12247,0.00427167,85.2297
0.31,0,314.37,3.11015,0.00398285,83.8637
0.32,0,314.589,3.0987,0.00371413,82.5101
0.33,0,314.802,3.08807,0.00346428,81.1681
0.34,0,315.011,3.07818,0.00323199,79.8369
0.35,0,315.215,3.06898,0.00301597,78.5158
0.36,0,315.414,3.06042,0.00281501,77.2041
0.37,0,315.609,3.05245,0.00262796,75.9012
0.38,0,315.799,3.04503,0.00245376,74.6066
0.39,0,315.986,3.03812,0.00229144,73.3197
0.4,0,316.168,3.03167,0.00214015,72.0399
0.41,0,316.346,3.02566,0.00199906,70.7669
0.42,0,316.521,3.02005,0.00186741,69.5002
0.43,0,316.693,3.01482,0.00174457,68.2393
0.44,0,316.862,3.00994,0.00162992,66.9838
0.45,0,317.027,3.00539,0.00152289,65.7337
0.46,0,317.19,3.00115,0.00142292,64.4883
0.47,0,317.349,2.99718,0.00132954,63.2473
0.48,0,317.506,2.99348,0.00124234,62.0106
0.49,0,317.661,2.99003,0.00116089,60.7778
0.5,0,317.812,2.9868,0.00108477,59.5487
0.51,0,317.961,2.9838,0.00101363,58.323
0.52,0,318.107,2.98098,0.000947189,57.1005
0.53,0,318.252,2.97835,0.000885123,55.8811
0.54,0,318.395,2.9759,0.000827093,54.6645
0.55,0,318.534,2.97362,0.000772837,53.4505
0.56,0,318.672,2.97148,0.000722161,52.2389
0.57,0,318.809,2.96947,0.000674837,51.0296
0.58,0,318.943,2.96761,0.000630586,49.8225
0.59,0,319.076,2.96587,0.000589193,48.6175
0.6,0,319.206,2.96424,0.000550531,47.4142
0.61,0,319.335,2.96273,0.000514442,46.2127
0.62,0,319.462,2.96131,0.000480702,45.0129
0.63,0,319.587,2.95998,0.000449127,43.8146
0.64,0,319.711,2.95874,0.000419625,42.6177
0.65,0,319.834,2.95758,0.0003921,41.4221
0.66,0,319.955,2.9565,0.000366379,40.2279
0.67,0,320.074,2.95549,0.000342298,39.0348
0.68,0,320.191,2.95455,0.000319786,37.8428
0.69,0,320.308,2.95367,0.00029879,36.6517
0.7,0,320.423,2.95285,0.000279185,35.4617
0.71,0,320.536,2.95208,0.000260831,34.2726
0.72,0,320.648,2.95135,0.000243656,33.0843
0.73,0,320.758,2.95069,0.000227639,31.8967
0.74,0,320.867,2.95006,0.0002127,30.7099
0.75,0,320.974,2.94947,0.000198718,29.5237
0.76,0,321.079,2.94893,0.000185625,28.3382
0.77,0,321.184,2.94841,0.000173409,27.1533
0.78,0,321.286,2.94794,0.000162026,25.969
0.79,0,321.388,2.94749,0.000151379,24.7851
0.8,0,321.487,2.94708,0.000141404,23.6017
0.81,0,321.585,2.94669,0.000132086,22.4189
0.82,0,321.68,2.94633,0.000123409,21.2365
0.83,0,321.775,2.94599,0.0001153,20.0543
0.84,0,321.868,2.94567,0.000107706,18.8727
0.85,0,321.959,2.94537,0.000100601,17.6913
0.86,0,322.048,2.9451,9.40E-05,16.5103
0.87,0,322.136,2.94484,8.78E-05,15.3295
0.88,0,322.223,2.94459,8.20E-05,14.149
0.89,0,322.307,2.94437,7.66E-05,12.9689
0.9,0,322.39,2.94416,7.16E-05,11.7889
0.91,0,322.471,2.94396,6.69E-05,10.6091
0.92,0,322.55,2.94378,6.25E-05,9.42962
0.93,0,322.628,2.94361,5.84E-05,8.25033
0.94,0,322.704,2.94345,5.46E-05,7.07121
0.95,0,322.779,2.9433,5.12E-05,5.89227
0.96,0,322.852,2.94316,4.80E-05,4.71349
0.97,0,322.924,2.94303,4.57E-05,3.53486
0.98,0,322.994,2.9429,4.40E-05,2.35638
0.99,0,323.06,2.94276,4.53E-05,1.17803
1,0,323.092,2.94267,4.74E-05,0.588884
